"Contract Number","Organization Type","Plan Type","Organization Name","Organization Marketing Name","Parent Organization","Contract Effective Date","Offers Part D","MAOnly","PartD","Enrollment"
"H2422","Local CCP","HMO/HMOPOS","HEALTHPARTNERS, INC.","HealthPartners","HealthPartners, Inc.","05/01/2005","Yes","*","5746","5746"
"H2425","Local CCP","HMO/HMOPOS","HMO Minnesota","Blue Plus","Aware Integrated, Inc.","09/01/2005","Yes","*","10146","10146"
"H2450","1876 Cost","1876 Cost","MEDICA INSURANCE COMPANY","Medica","Medica Holding Company","01/01/1990","Yes","67824","18634","86458"
"H2456","Local CCP","HMO/HMOPOS","UCARE MINNESOTA","UCare's MSHO","UCare Minnesota","01/01/1997","Yes","*","17051","17051"
"H2458","Local CCP","HMO/HMOPOS","MEDICA HEALTH PLANS","Medica","Medica Holding Company","07/01/1997","Yes","*","9788","9788"
"H2459","Local CCP","HMO/HMOPOS","UCARE MINNESOTA","UCare","UCare Minnesota","05/01/1998","Yes","6493","94755","101248"
"H2461","1876 Cost","1876 Cost","BCBSM, Inc.","Blue Cross and Blue Shield of Minnesota","Aware Integrated, Inc.","01/01/1999","Yes","33040","13587","46627"
"H2462","1876 Cost","1876 Cost","HEALTHPARTNERS, INC.","HealthPartners","HealthPartners, Inc.","01/01/1999","Yes","*","*","*"
"H2463","Local CCP","HMO/HMOPOS","HUMANA HEALTH PLAN OF TEXAS, INC.","Humana","Humana Inc.","01/01/2019","Yes","*","1851","1851"
"H2478","Local CCP","HMO/HMOPOS","MOLINA HEALTHCARE OF NEVADA INC","Molina Healthcare of Nevada","Molina Healthcare, Inc.,","01/01/2023","Yes","*","54","54"
"H2486","Local CCP","HMO/HMOPOS","HUMANA MEDICAL PLAN OF UTAH, INC.","Humana","Humana Inc.","01/01/2008","Yes","*","17560","17560"
"H2491","Local CCP","HMO/HMOPOS","WELLCARE HEALTH INSURANCE OF ARIZONA, INC.","Wellcare","Centene Corporation","01/01/2009","Yes","*","17355","17355"
"H2506","Demo","Medicare-Medicaid Plan HMO/HMOPOS","Aetna Better Health Premier Plan MMAI Inc.","Aetna Better Health Premier Plan","CVS Health Corporation","02/01/2014","Yes","*","17489","17489"
"H2509","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE OF FLORIDA, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2023","Yes","*","4844","4844"
"H2526","Local CCP","Local PPO","DEVOTED HEALTH PLAN OF OHIO INC","Devoted Health","Devoted Health, Inc.","01/01/2023","Yes","*","2703","2703"
"H2531","Demo","Medicare-Medicaid Plan HMO/HMOPOS","UNITEDHEALTHCARE COMMUNITY PLAN OF OHIO, INC.","UnitedHealthcare Community Plan","UnitedHealth Group, Inc.","05/01/2014","Yes","*","8503","8503"
"H2533","Demo","Medicare-Medicaid Plan HMO/HMOPOS","MOLINA HEALTHCARE OF SOUTH CAROLINA, INC.","Molina Healthcare of South Carolina","Molina Healthcare, Inc.,","02/01/2015","Yes","*","3425","3425"
"H2537","National PACE","National PACE","ALBRIGHT CARE SERVICES","Albright LIFE","Asbury Communities, Inc.","09/01/2008","Yes","*","81","81"
"H2541","National PACE","National PACE","AGEWELL PACE","AgeWell PACE","AgeWell PACE","07/01/2023","Yes","*","26","26"
"H2563","Local CCP","HMO/HMOPOS","OPTIMA HEALTH PLAN","Sentara Medicare","Sentara Health Care (SHC)","01/01/2014","Yes","855","34490","35345"
"H2577","Local CCP","Local PPO","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2020","Yes","3988","107361","111349"
"H2582","Local CCP","HMO/HMOPOS","ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION INC","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2020","Yes","*","11837","11837"
"H2591","Local CCP","Local PPO","HEALTH ALLIANCE - MIDWEST, INC.","Health Alliance Medicare","The Carle Foundation","01/01/2015","Yes","*","532","532"
"H2593","Local CCP","HMO/HMOPOS","WELLPOINT TEXAS, INC.","Wellpoint","Elevance Health, Inc.","01/01/2010","Yes","*","7752","7752"
"H2610","Local CCP","HMO/HMOPOS","ESSENCE HEALTHCARE, INC.","Essence Healthcare","Lumeris Group Holdings Corporation","06/01/2004","Yes","*","50546","50546"
"H2624","Local CCP","HMO/HMOPOS","CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA","CARE N'' CARE INSURANCE COMPANY OF NORTH CAROLINA","HTA Holdings, LLC","01/01/2020","Yes","*","2480","2480"
"H2663","Local CCP","HMO/HMOPOS","COVENTRY HEALTH CARE OF MISSOURI, INC","Aetna Medicare","CVS Health Corporation","11/01/1995","Yes","2044","99939","101983"
"H2686","Local CCP","Local PPO","DEVOTED HEALTH INSURANCE COMPANY OF HAWAII INC","Devoted Health","Devoted Health, Inc.","01/01/2023","Yes","*","5187","5187"
"H2694","Local CCP","Local PPO","ETERNALHEALTH, INC.","eternalHealth","Eternal Health of Delaware, Inc.","01/01/2022","Yes","*","591","591"
"H2697","Local CCP","HMO/HMOPOS","DEVOTED HEALTH PLAN OF OHIO, INC.","Devoted Health","Devoted Health, Inc.","01/01/2021","Yes","*","37710","37710"
"H2715","Local CCP","HMO/HMOPOS","MOLINA HEALTHCARE OF ILLINOIS INC","Molina Healthcare of Illinois","Molina Healthcare, Inc.,","01/01/2023","Yes","*","136","136"
